run_id,domain,model,harness,homepage_reached,docs_reached,sitemap_reached,web_search_used,llms_txt_reached,well_known_reached,openapi_reached,agents_md_reached,homepage_first_turn,next_hop_docs,homepage_visits,docs_pages_fetched,web_fetch_calls,format_set_calls,markdown_calls,llms_txt_fetches,llms_txt_linked,well_known_fetches,well_known_linked,openapi_fetches,openapi_linked,agents_md_fetches,agents_md_linked,llms_followed_listing,answer_code_matched_fetch,answer_grounded,answer_ground_kind,site_ships_llms_txt,site_ships_openapi,site_ships_agents_md
6ad01bf5-80e1-400e-9e54-d74bf562c876,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,4,9,9,9,0,0,0,0,0,0,0,0,,,1,docs_page,1,0,1
afa51161-addb-4222-97fe-9dd76245b030,attio.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,,,1,homepage,1,1,1
205f7ff5-0935-4087-ab3d-d7312ab6d637,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,0,0,0,1,1,2,4,12,12,11,1,1,0,0,0,0,0,0,0,,1,homepage,1,1,1
777f50bb-327a-4697-b075-29b8031796f2,telnyx.com,claude-fable-5,eve,1,0,0,0,1,1,0,0,1,0,2,0,3,0,0,1,1,2,2,0,0,0,0,0,,1,llms_txt,1,1,1
640969b7-0bc3-4af9-9119-9b26945c31e2,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,5,11,18,18,18,0,0,0,0,0,0,0,0,,,1,docs_page,1,0,1
5f6a6f1a-70af-4040-a1cc-f657b091b1c5,ora.ai,claude-fable-5,eve,1,1,0,0,1,1,1,1,1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,0,,1,docs_page,1,1,1
02df9cef-2d7a-4575-b2d8-0a11daf91f5e,stripe.com,claude-fable-5,eve,0,1,0,0,1,1,0,0,,,0,5,4,4,4,1,0,1,0,0,0,0,0,0,,1,docs_page,1,0,1
15901a91-ebd3-4fb0-8685-1e169c953379,telnyx.com,claude-haiku-4-5,eve,1,1,0,1,1,0,0,0,1,1,3,11,16,16,15,1,1,0,0,0,0,0,0,0,,1,docs_page,1,1,1
b495ed3a-7985-4190-8a62-b57625cf1519,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,0,0,0,1,1,2,5,12,12,11,1,1,0,0,0,0,0,0,0,,1,site_page,1,1,1
0422e58c-dbd3-441d-9b10-89c8f9e5780e,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,0,0,0,1,0,2,4,7,7,6,1,1,0,0,0,0,0,0,0,1,1,docs_page,1,1,1
65704bc2-a755-4dde-a80a-906e4deb8957,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,1,1,1,1,1,1,5,5,3,0,0,1,1,1,1,1,1,,1,1,agents_md,1,1,1
03d4ff29-6bc8-4924-b16b-92c9301aca60,telnyx.com,claude-fable-5,eve,1,0,0,0,1,0,0,0,1,0,2,0,4,0,0,1,1,0,0,0,0,0,0,1,,1,llms_txt,1,1,1
cd47a6b3-9b22-4e6a-8333-2e7f5255db88,ora.ai,claude-fable-5,eve,1,1,0,0,1,1,0,0,1,0,1,1,2,0,0,1,1,1,1,0,0,0,0,1,0,1,docs_page,1,1,1
0f803837-80b6-4917-9304-fe196604e7ec,telnyx.com,claude-fable-5,eve,1,1,0,0,0,1,0,0,1,0,2,1,1,0,0,0,0,3,3,0,0,0,0,,,1,homepage,1,1,1
4ba377db-a1e5-4c8d-8a79-b74323ff5c4c,ora.ai,claude-fable-5,eve,1,1,0,0,1,1,0,0,1,1,1,1,2,0,0,1,0,1,1,0,0,0,0,1,0,1,docs_page,1,1,1
73c24d73-c384-4b52-8b4e-0ac608b8150d,stripe.com,claude-fable-5,eve,1,1,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,,,1,homepage,1,0,1
53795943-859a-4470-ab4d-07ced2134803,attio.com,claude-fable-5,eve,1,1,0,0,1,0,0,0,1,0,2,3,5,0,0,1,1,0,0,0,0,0,0,1,,1,llms_txt,1,1,1
9b49f61f-42ca-41fc-8876-2a3d27c273ae,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,1,1,1,1,1,2,8,0,0,0,0,1,1,1,1,1,1,,0,1,agents_md,1,1,1
05d285dc-56f5-4f15-b7c7-90f7da532ef6,attio.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,1,8,10,10,10,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,1
d64305b2-38f1-44f2-b89d-86b5d27662b5,stripe.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,3,9,9,9,0,0,0,0,0,0,0,0,,,1,site_page,1,0,1
23ea6a2d-6141-4c0a-9dde-cae35534f92b,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,0,1,1,1,1,1,1,3,3,3,0,0,0,0,1,1,1,1,,0,1,agents_md,1,1,1
d11f2938-161d-4b39-bf17-4f2cdaf1c6b3,telnyx.com,claude-fable-5,eve,1,1,0,0,1,0,0,0,1,0,2,1,3,0,0,1,1,0,0,0,0,0,0,0,,1,homepage,1,1,1
8dd31713-849d-4acd-a523-d94a7dde9550,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,0,0,0,0,1,1,2,4,16,16,16,0,0,0,0,0,0,0,0,,,1,homepage,1,1,1
